rhoU,viscU,rhoL,viscL,Gamma,D,lc,Q,S,Pri,Sec,Cohen
918,0.006625,1325,0.002754,0.038,0.01571,0.00308503496092042,0.00014398518838212,0.0054356,1,0,0
918,0.006625,1325,0.002754,0.038,0.01571,0.00308503496092042,0.00019007945662401,0.0066294,1,0,0
918,0.006625,1325,0.002754,0.038,0.01571,0.00308503496092042,0.00023950011533742,0.0077216,1,0,0
918,0.006625,1325,0.002754,0.038,0.01571,0.00308503496092042,0.00028844557537599,0.0086868,1,0,0
918,0.006625,1325,0.002754,0.038,0.01571,0.00308503496092042,0.00033549024090447,0.0095758,1,0,0
918,0.006625,1325,0.002754,0.038,0.01571,0.00308503496092042,0.00038253490643295,0.0103124,1,0,0
918,0.006625,1325,0.002754,0.038,0.01571,0.00308503496092042,0.00040724523575811,0.0105664,1,0,0
918,0.006625,1325,0.002754,0.038,0.01571,0.00308503496092042,0.00024187610852235,0.0076708,1,0,0
918,0.006625,1325,0.002754,0.038,0.01571,0.00308503496092042,0.00015016277071341,0.0053086,1,0,0
918,0.006625,1325,0.002754,0.038,0.01571,0.00308503496092042,0.00035354778928659,0.009779,1,0,0
950,0.0265,1325,0.00285,0.038,0.01571,0.00321396883163116,9.456452966871e-05,0.0033528,1,0,0
950,0.0265,1325,0.00285,0.038,0.01571,0.00321396883163116,0.00014350998970728,0.0051308,1,0,0
950,0.0265,1325,0.00285,0.038,0.01571,0.00321396883163116,0.00019340584709553,0.0065532,1,0,0
950,0.0265,1325,0.00285,0.038,0.01571,0.00321396883163116,0.0002371241220894,0.0076454,1,0,0
950,0.0265,1325,0.00285,0.038,0.01571,0.00321396883163116,0.0002874951780894,0.008763,1,0,0
950,0.0265,1325,0.00285,0.038,0.01571,0.00321396883163116,0.00033311424771954,0.0097028,1,0,0
950,0.0265,1325,0.00285,0.038,0.01571,0.00321396883163116,0.00037683252271341,0.0105664,1,0,0
950,0.0265,1325,0.00285,0.038,0.01571,0.00321396883163116,0.00040724523575811,0.0110236,1,0,0
950,0.0265,1325,0.00285,0.038,0.01571,0.00321396883163116,0.00024282650580894,0.0078232,1,0,0
950,0.0265,1325,0.00285,0.038,0.01571,0.00321396883163116,0.00014921237342682,0.0052832,1,0,0
950,0.0265,1325,0.00285,0.038,0.01571,0.00321396883163116,0.00032788706261175,0.0096774,1,0,0
